policyid,Country,VehicleType,VehicleUsage,Power,Weight,Colour,VehicleFirstRegistrationYear,VehicleAge,Mark,Model,EngineType,RenewalIndicator,Leasing,Deductible_general,Deductible_glass,premium,suminsured,policy_period_in_years,year
1,LV,Passenger car,Regular,77,1940,Gaiši bruna,2007,6,VOLKSWAGEN,JETTA,Diesel,0,0,142.29,42.69,250.9,8140,1,2013
2,LV,Passenger car,Regular,85,2500,Tumši zila,2001,12,VOLKSWAGEN,SHARAN,Diesel,0,0,142.29,42.69,109.5,5710,0.575342466,2013
3,LV,Passenger car,Regular,110,2180,Melna,2006,8,OPEL,VECTRA STATION WAGON,Diesel,0,0,140,70,284.5,6460,1,2014
4,LV,Passenger car,Regular,103,2210,Tumši peleka,2012,2,VOLKSWAGEN,PASSAT,Diesel,1,1,142.29,42.69,525.4,22190,1,2014
5,LV,Passenger car,Regular,70,1460,Melna,2007,6,MITSUBISHI,COLT,Benzine,1,0,140,70,348.9,4500,1,2013
6,LV,Passenger car,Regular,61,1510,Oranža,2006,6,HONDA,JAZZ,Benzine,0,1,142.29,71.14,180.4,5180,0.591780822,2012
7,LV,Passenger car,Regular,73,1535,Bruna,2013,1,HONDA,JAZZ,Benzine,1,1,140,70,506.8,18320,1,2014
8,LV,Passenger car,Regular,73,1535,Bruna,2013,0,HONDA,JAZZ,Benzine,0,1,140,70,502.9,18320,1,2013
9,LV,Passenger car,Regular,62,1500,Gaiši zila,2004,8,HYUNDAI,GETZ,Benzine,0,0,142.29,71.14,-0.9,2620,0.032876712,2012
10,LV,Passenger car,Regular,55,1450,Tumši zila,2003,11,PEUGEOT,206,Benzine,1,0,140,70,42.2,3550,0.279452055,2014
11,LV,Passenger car,Regular,65,1640,Gaiši peleka,2007,5,PEUGEOT,207,Benzine,0,0,142.29,71.14,289.6,6290,1,2012
12,LV,Passenger car,Regular,55,1530,Zila,2002,11,TOYOTA,YARIS VERSO,Diesel,0,0,142.29,71.14,217.4,3050,1,2013
13,LV,Passenger car,Regular,55,1530,Zila,2002,12,TOYOTA,YARIS VERSO,Diesel,1,0,140,70,210,3200,1,2014
14,LV,Passenger car,Regular,66,1525,Gaiši peleka,2007,5,TOYOTA,YARIS,Diesel,0,1,142.29,71.14,277.8,6060,1,2012
15,LV,Passenger car,Regular,66,1525,Gaiši peleka,2007,5,TOYOTA,YARIS,Diesel,0,1,142.29,71.14,277.8,5660,1,2012
16,LV,Passenger car,Regular,66,1525,Gaiši peleka,2007,5,TOYOTA,YARIS,Diesel,0,1,142.29,71.14,277.8,6460,1,2012
17,LV,Passenger car,Regular,66,1525,Peleka,2007,5,TOYOTA,YARIS,Diesel,0,1,142.29,71.14,277.8,6860,1,2012
18,LV,Passenger car,Regular,66,1600,Oranža un peleka,2012,2,TOYOTA,VERSO S,Diesel,1,0,140,70,495.9,15300,1,2014
19,LV,Passenger car,Regular,66,1695,Gaiši peleka,2006,7,TOYOTA,COROLLA,Diesel,1,1,142.29,71.14,239.2,6150,1,2013
20,LV,Passenger car,Regular,66,1695,Gaiši peleka,2006,6,TOYOTA,COROLLA,Diesel,1,1,142.29,71.14,260.4,6380,1,2012
21,LV,Passenger car,Regular,66,1760,Gaiši zila,2007,5,TOYOTA,AURIS,Diesel,0,1,142.29,71.14,278,6680,1,2012
22,LV,Passenger car,Regular,66,1760,Tumši peleka,2007,5,TOYOTA,AURIS,Diesel,0,1,142.29,71.14,278,8480,1,2012
23,LV,Passenger car,Regular,66,1780,Gaiši peleka,2007,5,TOYOTA,COROLLA,Diesel,0,1,140,70,260.9,7700,0.816438356,2012
24,LV,Passenger car,Regular,66,1780,Gaiši peleka,2013,1,TOYOTA,COROLLA,Diesel,1,1,140,70,376,16700,1,2014
25,LV,Passenger car,Regular,66,1780,Gaiši peleka,2013,0,TOYOTA,COROLLA,Diesel,0,1,142.29,71.14,360.3,19550,1,2013
26,LV,Passenger car,Regular,0,2430,Peleka,2001,11,VOLKSWAGEN,SHARAN,Diesel,1,0,142.29,42.69,45.6,8160,0.145205479,2012
27,LV,Passenger car,Regular,85,1810,Gaiši peleka,2001,11,VOLKSWAGEN,BORA,Benzine,1,0,142.29,42.69,147.4,7370,0.745205479,2012
28,LV,Passenger car,Regular,118,2040,Kiršu,2013,0,VOLKSWAGEN,CC,Benzine,0,1,142.29,71.14,576.6,25810,1,2013
29,LV,Passenger car,Regular,202,2540,Gaiši peleka,2003,10,AUDI,A8,Diesel,0,0,142.29,71.14,402.7,8740,0.109589041,2013
30,LV,Passenger car,Regular,280,2475,Balta,2012,2,BMW,550,Diesel,0,1,2800,70,895.7,74400,0.695890411,2014
31,LV,Passenger car,Regular,50,1190,Zila,2013,1,TOYOTA,AYGO,Benzine,1,1,140,70,179,11000,0.580821918,2014
32,LV,Passenger car,Regular,51,1430,Violeta,2013,0,TOYOTA,YARIS,Benzine,0,1,142.29,71.14,354.8,12750,1,2013
33,LV,Passenger car,Regular,92,1900,Bruna tonmainas,2013,1,FORD,FOCUS,Benzine,1,1,140,70,410,19300,1,2014
34,LV,Passenger car,Regular,92,1900,Bruna tonmainas,2013,0,FORD,FOCUS,Benzine,0,0,142.29,71.14,469.8,19300,0.82739726,2013
35,LV,Passenger car,Regular,92,1900,Melna,2014,0,FORD,FOCUS,Benzine,0,1,140,70,235,22350,0.506849315,2014
36,LV,Passenger car,Regular,92,1900,Sarkana,2014,0,FORD,FOCUS,Benzine,0,1,140,70,189.2,17800,0.421917808,2014
37,LV,Passenger car,Regular,80,1945,Zila,2014,0,NISSAN,LEAF,Electricity,0,0,300,70,742.6,37280,1,2014
38,LV,Passenger car,Regular,63,1615,Gaiši bruna,2013,1,SKODA,RAPID,Benzine,1,0,140,70,452.8,14980,1,2014
39,LV,Passenger car,Regular,77,1959,Peleka,2014,0,SKODA,YETI,Benzine,0,1,140,70,548.5,21850,1,2014
40,LV,Passenger car,Regular,66,1740,Gaiši peleka,2011,1,DACIA,DUSTER,Diesel,0,0,142.29,71.14,397.7,12550,1,2012
41,LV,Passenger car,Regular,66,1954,Gaiši peleka,2011,1,RENAULT,KANGOO,Diesel,0,0,142.29,71.14,488,11890,1,2012
42,LV,Passenger car,Regular,66,2030,Gaiši peleka,2011,3,NISSAN,NV200,Diesel,1,0,140,70,377.5,13500,1,2014
43,LV,Passenger car,Regular,66,2030,Gaiši peleka,2011,1,NISSAN,NV200,Diesel,0,0,142.29,71.14,448,17160,1,2012
44,LV,Passenger car,Regular,66,2030,Gaiši peleka,2011,2,NISSAN,NV200,Diesel,1,0,142.29,71.14,464.6,16560,1,2013
45,LV,Passenger car,Regular,78,1930,Bruna,2010,3,NISSAN,QASHQAI,Diesel,1,1,140,70,353,15000,1,2013
46,LV,Passenger car,Regular,78,1930,Bruna,2010,2,NISSAN,QASHQAI,Diesel,1,1,140,70,364,16810,1.002739726,2012
47,LV,Passenger car,Regular,78,1930,Sarkana,2010,4,NISSAN,QASHQAI,Diesel,1,1,140,70,358.3,14500,1,2014
48,LV,Passenger car,Regular,78,1930,Sarkana,2010,3,NISSAN,QASHQAI,Diesel,1,1,142.29,71.14,470.5,15250,1,2013
49,LV,Passenger car,Regular,80,1875,Bruna,2014,0,DACIA,DUSTER,Diesel,0,1,140,70,384.7,18300,1,2014
50,LV,Passenger car,Regular,81,1750,,2011,1,NISSAN,JUKE,Diesel,1,1,140,70,554.3,18800,1,2012
51,LV,Passenger car,Regular,0,1795,Gaiši zila,2001,12,CITROEN,XSARA PICASSO,Benzine,0,0,142.29,71.14,158.7,3480,1,2013
52,LV,Passenger car,Regular,47,1570,Peleka,2006,7,VOLKSWAGEN,POLO,Benzine,0,0,142.29,42.69,208.2,2830,1,2013
53,LV,Passenger car,Regular,75,1944,Gaiši peleka,2006,8,SEAT,TOLEDO,Benzine,0,0,140,70,290.1,4510,1,2014
54,LV,Passenger car,Regular,77,1695,Gaiši peleka,2006,7,MAZDA,3,Benzine,1,1,142.29,71.14,230.1,5980,1,2013
55,LV,Passenger car,Regular,77,1725,Peleka,2013,0,SKODA,RAPID,Diesel,0,0,142.29,71.14,479.2,20520,1,2013
56,LV,Passenger car,Regular,47,1570,Zala,2007,6,VOLKSWAGEN,POLO,Benzine,1,0,142.29,42.69,276.7,4700,1,2013
57,LV,Passenger car,Regular,47,1600,Peleka,2006,6,SKODA,FABIA,Benzine,1,0,142.29,71.14,2,6150,0.04109589,2012
